page_number,listing_number,title,location,address,description,bedrooms,bathrooms,parking spaces,size,price,listing_link,agency
13,116942085,1 Bedroom House,Karen,"Tree Ln Nairobi, Karen, Nairobi","Cozy 1-Bedroom Cottage to Let in Leafy Karen
Rent: KES 50,000 per month
Tucked away in a",1,1,,75 m²,KSh 50 000,https://www.property24.co.ke/1-bedroom-house-to-rent-in-karen-116942085,
13,116981627,3 Bedroom House,South B,"MRQQ+CJC Aoko Rd, South B, Nairobi","?? 3 Bedroom + SQ for Rent – South B | KSh 70,000/month

Discover comfort and convenience",3,2,1,150 m²,KSh 70 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-south-b-116981627,
13,116978183,4 Bedroom Townhouse,Runda,"RR6H+HF Kiambu, Runda, Nairobi","Well nestled within a gated compound in a serene neighbourhood in New Runda ,this 4 bedroom",4,4.5,2,480 m²,KSh 350 000,https://www.property24.co.ke/4-bedroom-townhouse-to-rent-in-runda-116978183,Shieldon Relocators
13,116941215,Commercial Property,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi","1245 FT² OFFICE SPACE FOR RENT IN WESTLANDS

A range of modern office spaces is available",,,,115 m²,KSh 99 600,https://www.property24.co.ke/commercial-property-to-rent-in-westlands-116941215,
13,116941202,Commercial Property,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi","1229 FT² OFFICE SPACE FOR RENT IN WESTLANDS

A range of modern office spaces is available",,,,114 m²,KSh 98 320,https://www.property24.co.ke/commercial-property-to-rent-in-westlands-116941202,
13,116990004,3 Bedroom Apartment / Flat,Kilimani,"Kilimani Nairobi, Kilimani, Nairobi",Discover your dream home in this stunning 3-bedroom apartment unit located in the,3,3,2,140 m²,KSh 20 000 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-kilimani-116990004,Hervic Agencies
13,116987398,4 Bedroom Apartment / Flat,Westlands,"Westlands, Westlands, Nairobi",Discover this spacious and well-maintained 4-bedroom apartment with DSQ located in the,4,4,2,150 m²,KSh 185 000,https://www.property24.co.ke/4-bedroom-apartment-flat-to-rent-in-westlands-116987398,Core Realtors
13,101747130,Commercial Property,Lavington,"James Gichuru Road Maziwa, Lavington, Nairobi",Located in the serene and prestigious neighborhood of Lavington is this exceptional office,,,,876 m²,KSh 980 000,https://www.property24.co.ke/commercial-property-to-rent-in-lavington-101747130,Trisums Investments Co. Ltd
14,116987398,4 Bedroom Apartment / Flat,Westlands,"Westlands, Westlands, Nairobi",Discover this spacious and well-maintained 4-bedroom apartment with DSQ located in the,4,4,2,150 m²,KSh 185 000,https://www.property24.co.ke/4-bedroom-apartment-flat-to-rent-in-westlands-116987398,Core Realtors
14,116986897,5 Bedroom Townhouse,Lower Kabete,"Lower Kabete Nairobi, Lower Kabete, Nairobi","Lower Kabete 
5bedroom plus Dsq villa to let in a a gated community of only 11 similar",5,5,,2321 m²,KSh 709 500,https://www.property24.co.ke/5-bedroom-townhouse-to-rent-in-lower-kabete-116986897,
14,116941902,2 Bedroom House,Karen,"Ndege Rd Nairobi, Karen, Nairobi","Furnished 2-Bedroom Cottage to Let – Off Ndege Road, Karen
•	Rent: KES 200,000 per",2,2,,150 m²,KSh 200 000,https://www.property24.co.ke/2-bedroom-house-to-rent-in-karen-116941902,
14,116949946,6 Bedroom House,Karen,"Hardy Nairobi, Karen, Nairobi","KES 500,000 pm – Exquisite 6-Bedroom Mansion To Let in Hardy, Karen
Bedrooms: 6 |",6,5,,450 m²,KSh 500 000,https://www.property24.co.ke/6-bedroom-house-to-rent-in-karen-116949946,
14,116977221,3 Bedroom Apartment / Flat,Kilimani,"Kirichwa Rd Kilimani, Kilimani, Nairobi","The apartment is located in a serene secure and quiet environment easily accessed.
All are",3,4,2,212 m²,KSh 130 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-kilimani-116977221,
14,116977217,3 Bedroom Apartment / Flat,Kileleshwa,"Othaya Rd Nairobi, Kileleshwa, Nairobi","The apartment is located in a serene secure and quiet environment easily accessed.
All are",3,4,2,212 m²,KSh 150 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-kileleshwa-116977217,
14,101743288,3 Bedroom House,Karen,"Karen Karen, Karen, Nairobi","3-Bedroom Villa for Rent in Hardy, Karen
Rent: KES 200,000
This elegant three-bedroom",3,3,1,300 m²,KSh 200 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-karen-101743288,
14,116987195,2 Bedroom Apartment / Flat,Westlands,"69 Rhapta Road, Westlands, Nairobi","This apartment has the following features;
(i)	It has 2 bedrooms, both en-suite with an",2,2.5,2,180 m²,KSh 160 000,https://www.property24.co.ke/2-bedroom-apartment-flat-to-rent-in-westlands-116987195,Talma Homes
14,116949919,6 Bedroom House,Karen,"Ololua Ridge Karen, Karen, Nairobi","Elegant 6-Bedroom Villa for Rent in Karen – KES 400,000
Location: Karen
Property Type:",6,6,2,450 m²,KSh 400 000,https://www.property24.co.ke/6-bedroom-house-to-rent-in-karen-116949919,
14,116951215,5 Bedroom House,Karen,"Academy Road Nairobi, Karen, Nairobi","TO LET: Elegant 5-Bedroom Maisonette with DSQ on ½ Acre – Karen
 Location: Karen,",5,5,,450 m²,KSh 350 000,https://www.property24.co.ke/5-bedroom-house-to-rent-in-karen-116951215,
14,116981674,3 Bedroom Apartment / Flat,Kitisuru,"Getathuru Rd Wangige, Kitisuru, Nairobi","? 3 Bedroom Apartment with DSQ – Kitisuru Falls Residence

Rent: KES",3,3,,120 m²,KSh 100 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-kitisuru-116981674,
14,116951203,5 Bedroom House,Karen,"Nandi Rd Karen, Karen, Nairobi","Contemporary 5-Bedroom Villa To Let – Karen
Rent: KES 550,000 per month
Location: Nandi",5,5,,450 m²,KSh 550 000,https://www.property24.co.ke/5-bedroom-house-to-rent-in-karen-116951203,
14,116968217,4 Bedroom Townhouse,Spring Valley,"Spring Valley Nairobi, Spring Valley, Nairobi","4-Bedroom House for Rent – Spring Valley
Price: KES 250,000

Spacious and",4,4,3,300 m²,KSh 250 000,https://www.property24.co.ke/4-bedroom-townhouse-to-rent-in-spring-valley-116968217,Symec Properties
14,116975041,3 Bedroom House,Karen,"Karen Karen, Karen, Nairobi","3-Bedroom Villa for Rent in Hardy, Karen
Rent: KES 200,000
This elegant three-bedroom",3,3,1,300 m²,KSh 200 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-karen-116975041,
14,116951221,5 Bedroom House,Karen,"Three-D Ln Karen, Karen, Nairobi","Luxurious 5-Bedroom Villa for Rent in Karen – Windy Ridge
Location: Windy Ridge,",5,5,2,450 m²,KSh 350 000,https://www.property24.co.ke/5-bedroom-house-to-rent-in-karen-116951221,
14,116937038,3 Bedroom Apartment / Flat,Karen,"Ngong Rd Karen, Karen, Nairobi","3-Bedroom Apartment for Rent in Karen
Rent: KES 50,000 per Month
Nestled in the serene",3,2,,180 m²,KSh 50 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-karen-116937038,
14,116941309,5 Bedroom Townhouse,Lavington,"James Gichuru Road Maziwa, Lavington, Nairobi","Elegant 5-Bedroom All En-Suite Townhouse for Rent – Lavington
KES 450,000 per month",5,5,3,300 m²,KSh 450 000,https://www.property24.co.ke/5-bedroom-townhouse-to-rent-in-lavington-116941309,Symec Properties
14,116941299,5 Bedroom Townhouse,Lavington,"James Gichuru Road Maziwa, Lavington, Nairobi","Elegant 5-Bedroom All En-Suite Townhouse for Rent – Lavington
KES 450,000 per month",5,5,3,300 m²,KSh 450 000,https://www.property24.co.ke/5-bedroom-townhouse-to-rent-in-lavington-116941299,
14,116981846,3 Bedroom Apartment / Flat,Lavington,"Gitanga Rd Nairobi, Lavington, Nairobi","Now letting 3 bedroom Master ensuite
Master bedroom with a ,in",3,3,2,121 m²,KSh 90 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-lavington-116981846,
14,116978787,3 Bedroom Apartment / Flat,Kilimani,"Ole Dume Rd Kilimani, Kilimani, Nairobi","Now letting 3 bedroom Master ensuite
Master bedroom with a ,in",3,3,2,111 m²,KSh 85 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-kilimani-116978787,
14,116942468,1 Bedroom House,Karen,"Tree Ln Nairobi, Karen, Nairobi","Fully Furnished & Serviced 1-Bedroom Cottage To Let – Tree Lane Estate, Karen
Rent: KES",1,1,,75 m²,KSh 120 000,https://www.property24.co.ke/1-bedroom-house-to-rent-in-karen-116942468,
15,116942441,1 Bedroom House,Karen,"Tree Ln Nairobi, Karen, Nairobi","Fully Furnished & Serviced 1-Bedroom Cottage To Let – Tree Lane Estate, Karen
Rent: KES",1,1,,99 m²,KSh 120 000,https://www.property24.co.ke/1-bedroom-house-to-rent-in-karen-116942441,
15,116981837,3 Bedroom Apartment / Flat,Kileleshwa,"Gatundu Rd Kileleshwa, Kileleshwa, Nairobi","The apartment is located in a serene secure and quiet environment easily accessed.
All are",3,4,2,211 m²,KSh 150 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-kileleshwa-116981837,
15,116981692,3 Bedroom Apartment / Flat,Lavington,"Vanga Rd Maziwa, Lavington, Nairobi","The apartment is located in a serene secure and quiet environment easily accessed.
All are",3,4,2,112 m²,KSh 110 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-lavington-116981692,
15,116981332,3 Bedroom Apartment / Flat,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi","The apartment is located in a serene secure and quiet environment easily accessed.
All are",3,4,2,212 m²,KSh 120 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-kilimani-116981332,
15,116980479,4 Bedroom Apartment / Flat,Kileleshwa,"Laikipia Rd Nairobi, Kileleshwa, Nairobi","The apartment is located in a serene secure and quiet environment easily accessed.
All are",4,5,2,218 m²,KSh 150 000,https://www.property24.co.ke/4-bedroom-apartment-flat-to-rent-in-kileleshwa-116980479,
15,116980138,3 Bedroom Apartment / Flat,Kilimani,"Ole Odume Road Kilimani, Kilimani, Nairobi","The apartment is located in a serene secure and quiet environment easily accessed.
All are",3,4,2,111 m²,KSh 110 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-kilimani-116980138,
15,116979473,3 Bedroom Apartment / Flat,Kilimani,"Rose Ave Kilimani, Kilimani, Nairobi","The apartment is located in a serene secure and quiet environment easily accessed.
All are",3,4,2,212 m²,KSh 120 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-kilimani-116979473,
15,116978670,3 Bedroom Apartment / Flat,Kilimani,"Lenana Rd Kilimani, Kilimani, Nairobi","The apartment is located in a serene secure and quiet environment easily accessed.
All are",3,4,2,211 m²,KSh 110 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-kilimani-116978670,
15,101735465,3 Bedroom Apartment / Flat,Kilimani,"Ole Odume Road Kilimani, Kilimani, Nairobi","The apartment is located in a serene secure and quiet environment easily accessed.
All are",3,4,2,111 m²,KSh 110 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-kilimani-101735465,
